,city_page
389,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
390,"{'display_name': 'Depok', 'id': '106187686078679'}"
391,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
392,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
393,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
394,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
395,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
396,"{'display_name': 'Arjawinangun, Jawa Barat, Indonesia', 'id': '110277175664606'}"
397,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
398,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
399,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
400,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
401,"{'display_name': 'Depok', 'id': '106187686078679'}"
402,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
403,"{'display_name': 'Binong, Indonesia', 'id': '136562986405352'}"
404,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
405,"{'display_name': 'Cikarang 3, Jawa Barat, Indonesia', 'id': '109240732433544'}"
406,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
407,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
408,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
409,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
410,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
411,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
412,"{'display_name': 'Cikarang, Indonesia', 'id': '146430925411104'}"
413,"{'display_name': 'Depok', 'id': '106187686078679'}"
414,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
415,"{'display_name': 'Depok', 'id': '106187686078679'}"
416,"{'display_name': 'Cibinong', 'id': '113104558704072'}"
417,"{'display_name': 'Depok', 'id': '106187686078679'}"
418,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
419,"{'display_name': 'Jampang Kulon, Jawa Barat, Indonesia', 'id': '108968605797309'}"
420,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
421,"{'display_name': 'Bandung Satu, Jawa Barat, Indonesia', 'id': '108988619122058'}"
422,"{'display_name': 'Cikarangutan, Jawa Barat, Indonesia', 'id': '104277182946114'}"
423,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
424,"{'display_name': 'Depok', 'id': '106187686078679'}"
425,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
426,"{'display_name': 'Balaraja, Jawa Barat, Indonesia', 'id': '100246383349731'}"
427,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
428,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
429,"{'display_name': 'Bandung Satu, Jawa Barat, Indonesia', 'id': '108988619122058'}"
430,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
431,"{'display_name': 'Mauk, Jawa Barat, Indonesia', 'id': '104957506206178'}"
432,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
433,"{'display_name': 'Mauk, Jawa Barat, Indonesia', 'id': '104957506206178'}"
434,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
435,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
436,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
437,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
438,"{'display_name': 'Cikarangutan, Jawa Barat, Indonesia', 'id': '104277182946114'}"
439,"{'display_name': 'Babelan, Jawa Barat, Indonesia', 'id': '113261818689284'}"
440,"{'display_name': 'Tigaraksa, Jawa Barat, Indonesia', 'id': '108491039173552'}"
441,"{'display_name': 'Karawang', 'id': '108130022542209'}"
442,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
443,"{'display_name': 'Depok', 'id': '106187686078679'}"
444,"{'display_name': 'Cikarang 3, Jawa Barat, Indonesia', 'id': '109240732433544'}"
445,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
446,"{'display_name': 'Depok', 'id': '106187686078679'}"
447,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
448,"{'display_name': 'Cibarusah, Jawa Barat, Indonesia', 'id': '108524472510462'}"
449,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
450,"{'display_name': 'Ciampea, Jawa Barat, Indonesia', 'id': '106393969393365'}"
451,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
452,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
453,"{'display_name': 'Chikarang, Jawa Barat, Indonesia', 'id': '104877959548600'}"
454,"{'display_name': 'Tigaraksa, Jawa Barat, Indonesia', 'id': '108491039173552'}"
455,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
456,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
457,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
458,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
459,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
460,"{'display_name': 'Depok', 'id': '106187686078679'}"
461,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
462,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
463,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
464,"{'display_name': 'Parigi', 'id': '105429922822713'}"
465,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
466,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
467,"{'display_name': 'Depok', 'id': '106187686078679'}"
468,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
469,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
470,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
471,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
472,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
473,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
474,"{'display_name': 'Priuksumurdaun, Jawa Barat, Indonesia', 'id': '110371042323194'}"
475,"{'display_name': 'Karawang', 'id': '108130022542209'}"
476,"{'display_name': 'Depok', 'id': '106187686078679'}"
477,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
478,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
479,"{'display_name': 'Priuksumurdaun, Jawa Barat, Indonesia', 'id': '110371042323194'}"
480,"{'display_name': 'Karawang', 'id': '108130022542209'}"
481,"{'display_name': 'Depok', 'id': '106187686078679'}"
482,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
483,"{'display_name': 'Ciomas, Jawa Barat, Indonesia', 'id': '110431382309416'}"
484,"{'display_name': 'Depok', 'id': '106187686078679'}"
485,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
486,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
487,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
488,"{'display_name': 'Jatiluhur, Jawa Barat, Indonesia', 'id': '104951042873983'}"
489,"{'display_name': 'Depok', 'id': '106187686078679'}"
490,"{'display_name': 'Muncul, Jawa Barat, Indonesia', 'id': '100241886683623'}"
491,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
492,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
493,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
494,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
495,"{'display_name': 'Karawang', 'id': '108130022542209'}"
496,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
497,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
498,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
499,"{'display_name': 'Depok', 'id': '106187686078679'}"
500,"{'display_name': 'Depok', 'id': '106187686078679'}"
501,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
502,"{'display_name': 'Bintarojaya 2, Jawa Barat, Indonesia', 'id': '100244326683698'}"
503,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
504,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
505,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
506,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
507,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
508,"{'display_name': 'Cianjur Regency', 'id': '140827019261867'}"
509,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
510,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
511,"{'display_name': 'Chikarang, Jawa Barat, Indonesia', 'id': '104877959548600'}"
512,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
513,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
514,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
515,"{'display_name': 'Cimayang, Jawa Barat, Indonesia', 'id': '104312419609570'}"
516,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
517,"{'display_name': 'Pulogebang, Jawa Barat, Indonesia', 'id': '100245523351175'}"
518,"{'display_name': 'Balaraja, Jawa Barat, Indonesia', 'id': '100246383349731'}"
519,"{'display_name': 'Karawang', 'id': '108130022542209'}"
520,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
521,"{'display_name': 'Legoso, Jawa Barat, Indonesia', 'id': '104329859606802'}"
522,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
523,"{'display_name': 'Cianjur Regency', 'id': '140827019261867'}"
524,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
525,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
526,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
527,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
528,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
529,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
530,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
531,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
532,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
533,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
534,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
535,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
536,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
537,"{'display_name': 'Mauk, Jawa Barat, Indonesia', 'id': '104957506206178'}"
538,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
539,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
540,"{'display_name': 'Depok', 'id': '106187686078679'}"
541,"{'display_name': 'Citeureup, Jawa Barat, Indonesia', 'id': '109598509064869'}"
542,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
543,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
544,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
545,"{'display_name': 'Priuksumurdaun, Jawa Barat, Indonesia', 'id': '110371042323194'}"
546,"{'display_name': 'Cibinong', 'id': '113104558704072'}"
547,"{'display_name': 'Legoso, Jawa Barat, Indonesia', 'id': '104329859606802'}"
548,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
549,"{'display_name': 'Chikarang, Jawa Barat, Indonesia', 'id': '104877959548600'}"
550,"{'display_name': 'Walahar, Jawa Barat, Indonesia', 'id': '108451585851645'}"
551,"{'display_name': 'Depok', 'id': '106187686078679'}"
552,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
553,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
554,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
555,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
556,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
557,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
558,"{'display_name': 'Pebayuran, Jawa Barat, Indonesia', 'id': '104682316237509'}"
559,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
560,"{'display_name': 'Cikarangutan, Jawa Barat, Indonesia', 'id': '104277182946114'}"
561,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
562,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
563,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
564,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
565,"{'display_name': 'Depok', 'id': '106187686078679'}"
566,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
567,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
568,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
569,"{'display_name': 'Cikampek, Jawa Barat, Indonesia', 'id': '109218759100286'}"
570,"{'display_name': 'Karawang', 'id': '108130022542209'}"
571,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
572,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
573,"{'display_name': 'Binong, Indonesia', 'id': '136562986405352'}"
574,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
575,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
576,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
577,"{'display_name': 'Legoso, Jawa Barat, Indonesia', 'id': '104329859606802'}"
578,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
579,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
580,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
581,"{'display_name': 'Depok', 'id': '106187686078679'}"
582,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
583,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
584,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
585,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
586,"{'display_name': 'Wanaherang, Jawa Barat, Indonesia', 'id': '110476345646213'}"
587,"{'display_name': 'Wanaherang, Jawa Barat, Indonesia', 'id': '110476345646213'}"
588,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
589,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
590,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
591,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
592,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
593,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
594,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
595,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
596,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
597,"{'display_name': 'Mauk, Jawa Barat, Indonesia', 'id': '104957506206178'}"
598,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
599,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
600,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
601,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
602,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
603,"{'display_name': 'Mauk, Jawa Barat, Indonesia', 'id': '104957506206178'}"
604,"{'display_name': 'Setu, Jawa Barat, Indonesia', 'id': '104690112902569'}"
605,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
606,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
607,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
608,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
609,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
610,"{'display_name': 'Selabintana, Jawa Barat, Indonesia', 'id': '107158535982645'}"
611,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
612,"{'display_name': 'Cianjur Regency', 'id': '140827019261867'}"
613,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
614,"{'display_name': 'Karawang', 'id': '108130022542209'}"
615,"{'display_name': 'Ciomas, Jawa Barat, Indonesia', 'id': '110431382309416'}"
616,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
617,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
618,"{'display_name': 'Pakuhaji, Jawa Barat, Indonesia', 'id': '113477811998744'}"
619,"{'display_name': 'Depok', 'id': '106187686078679'}"
620,"{'display_name': 'Mauk, Jawa Barat, Indonesia', 'id': '104957506206178'}"
621,"{'display_name': 'Tenjo, Jawa Barat, Indonesia', 'id': '106505922715427'}"
622,"{'display_name': 'Leuwiliang, Jawa Barat, Indonesia', 'id': '112544738761972'}"
623,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
624,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
625,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
626,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
627,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
628,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
629,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
630,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
631,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
632,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
633,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
634,"{'display_name': 'Depok', 'id': '106187686078679'}"
635,"{'display_name': 'Ciomas, Jawa Barat, Indonesia', 'id': '110431382309416'}"
636,"{'display_name': 'Pulogebang, Jawa Barat, Indonesia', 'id': '100245523351175'}"
637,"{'display_name': 'Cianjur Regency', 'id': '140827019261867'}"
638,"{'display_name': 'Dago, Jawa Barat, Indonesia', 'id': '106531322714027'}"
639,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
640,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
641,"{'display_name': 'Depok', 'id': '106187686078679'}"
642,"{'display_name': 'Cianjur Regency', 'id': '140827019261867'}"
643,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
644,"{'display_name': 'Depok', 'id': '106187686078679'}"
645,"{'display_name': 'Cianjur Regency', 'id': '140827019261867'}"
646,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
647,"{'display_name': 'Cigudeg, Jawa Barat, Indonesia', 'id': '106551902712196'}"
648,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
649,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
650,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
651,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
652,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
653,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
654,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
655,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
656,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
657,"{'display_name': 'Karawang', 'id': '108130022542209'}"
658,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
659,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
660,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
661,"{'display_name': 'Depok', 'id': '106187686078679'}"
662,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
663,"{'display_name': 'Depok', 'id': '106187686078679'}"
664,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
665,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
666,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
667,"{'display_name': 'Karawang', 'id': '108130022542209'}"
668,"{'display_name': 'Cianjur Regency', 'id': '140827019261867'}"
669,"{'display_name': 'Cipurut, Jawa Barat, Indonesia', 'id': '104353902937522'}"
670,"{'display_name': 'Chikarang, Jawa Barat, Indonesia', 'id': '104877959548600'}"
671,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
672,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
673,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
674,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
675,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
676,"{'display_name': 'Kadu, Jawa Barat, Indonesia', 'id': '110176172335514'}"
677,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
678,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
679,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
680,"{'display_name': 'Depok', 'id': '106187686078679'}"
681,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
682,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
683,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
684,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
685,"{'display_name': 'Karawang', 'id': '108130022542209'}"
686,"{'display_name': 'Balaraja, Jawa Barat, Indonesia', 'id': '100246383349731'}"
687,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
688,"{'display_name': 'Rangkasbitung, Jawa Barat, Indonesia', 'id': '100239880017709'}"
689,"{'display_name': 'Bojongkulur, Jawa Barat, Indonesia', 'id': '113199152025410'}"
690,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
691,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
692,"{'display_name': 'Karawang', 'id': '108130022542209'}"
693,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
694,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
695,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
696,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
697,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
698,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
699,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
700,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
701,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
702,"{'display_name': 'Depok', 'id': '106187686078679'}"
703,"{'display_name': 'Jombang, Jawa Barat, Indonesia', 'id': '104244276282900'}"
704,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
705,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
706,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
707,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
708,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
709,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
710,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
711,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
712,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
713,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
714,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
715,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
